SPCD,COMMON_NAME,GENUS,SPECIES,SPECIES_SYMBOL,SCI_SPEICES,TYPE
313,BOXELDER,ACER,NEGUNDO,ACNE2,ACER NEGUNDO,DECIDUOUS
314,BLACK MAPLE,ACER,NIGRUM,ACNI5,ACER NIGRUM,DECIDUOUS
315,STRIPED MAPLE,ACER,PENSYLVANICUM,ACPE,ACER PENSYLVANICUM,DECIDUOUS
316,RED MAPLE,ACER,RUBRUM,ACRU,ACER RUBRUM,DECIDUOUS
317,SILVER MAPLE,ACER,SACCHARINUM,ACSA2,ACER SACCHARINUM,DECIDUOUS
318,SUGAR MAPLE,ACER,SACCHARUM,ACSA3,ACER SACCHARUM,DECIDUOUS
319,MOUNTAIN MAPLE,ACER,SPICATUM,ACSP2,ACER SPICATUM,DECIDUOUS
320,NORWAY MAPLE,ACER,PLATANOIDES,ACPL,ACER PLATANOIDES,DECIDUOUS
321,ROCKY MOUNTAIN MAPLE,ACER,GLABRUM,ACGL,ACER GLABRUM,DECIDUOUS
322,BIGTOOTH MAPLE,ACER,GRANDIDENTATUM,ACGR3,ACER GRANDIDENTATUM,DECIDUOUS
323,CHALK MAPLE,ACER,LEUCODERME,ACLE,ACER LEUCODERME,DECIDUOUS
330,"BUCKEYE, HORSECHESTNUT SPP.",AESCULUS,SPP.,AESCU,AESCULUS SPP.,DECIDUOUS
331,OHIO BUCKEYE,AESCULUS,GLABRA,AEGL,AESCULUS GLABRA,DECIDUOUS
332,YELLOW BUCKEYE,AESCULUS,FLAVA,AEFL,AESCULUS FLAVA,DECIDUOUS
333,CALIFORNIA BUCKEYE,AESCULUS,CALIFORNICA,AECA,AESCULUS CALIFORNICA,DECIDUOUS
334,TEXAS BUCKEYE,AESCULUS,GLABRA,AEGLA,AESCULUS GLABRA,DECIDUOUS
336,RED BUCKEYE,AESCULUS,PAVIA,AEPA,AESCULUS PAVIA,DECIDUOUS
337,PAINTED BUCKEYE,AESCULUS,SYLVATICA,AESY,AESCULUS SYLVATICA,DECIDUOUS
341,AILANTHUS,AILANTHUS,ALTISSIMA,AIAL,AILANTHUS ALTISSIMA,DECIDUOUS
345,"MIMOSA, SILKTREE",ALBIZIA,JULIBRISSIN,ALJU,ALBIZIA JULIBRISSIN,DECIDUOUS
350,ALDER SPP.,ALNUS,SPP.,ALNUS,ALNUS SPP.,DECIDUOUS
351,RED ALDER,ALNUS,RUBRA,ALRU2,ALNUS RUBRA,DECIDUOUS
352,WHITE ALDER,ALNUS,RHOMBIFOLIA,ALRH2,ALNUS RHOMBIFOLIA,DECIDUOUS
353,ARIZONA ALDER,ALNUS,OBLONGIFOLIA,ALOB2,ALNUS OBLONGIFOLIA,DECIDUOUS
355,EUROPEAN ALDER,ALNUS,GLUTINOSA,ALGL2,ALNUS GLUTINOSA,DECIDUOUS
356,SERVICEBERRY SPP.,AMELANCHIER,SPP.,AMELA,AMELANCHIER SPP.,DECIDUOUS
357,COMMON SERVICEBERRY,AMELANCHIER,ARBOREA,AMAR3,AMELANCHIER ARBOREA,DECIDUOUS
358,ROUNDLEAF SERVICEBERRY,AMELANCHIER,SANGUINEA,AMSA,AMELANCHIER SANGUINEA,DECIDUOUS
360,MADRONE SPP.,ARBUTUS,SPP.,ARBUT,ARBUTUS SPP.,DECIDUOUS
361,PACIFIC MADRONE,ARBUTUS,MENZIESII,ARME,ARBUTUS MENZIESII,DECIDUOUS
362,ARIZONA MADRONE,ARBUTUS,ARIZONICA,ARAR2,ARBUTUS ARIZONICA,DECIDUOUS
363,TEXAS MADRONE,ARBUTUS,XALAPENSIS,ARXA80,ARBUTUS XALAPENSIS,DECIDUOUS
367,PAWPAW,ASIMINA,TRILOBA,ASTR,ASIMINA TRILOBA,DECIDUOUS
370,BIRCH SPP.,BETULA,SPP.,BETUL,BETULA SPP.,DECIDUOUS
371,YELLOW BIRCH,BETULA,ALLEGHANIENSIS,BEAL2,BETULA ALLEGHANIENSIS,DECIDUOUS
372,SWEET BIRCH,BETULA,LENTA,BELE,BETULA LENTA,DECIDUOUS
373,RIVER BIRCH,BETULA,NIGRA,BENI,BETULA NIGRA,DECIDUOUS
374,WATER BIRCH,BETULA,OCCIDENTALIS,BEOC2,BETULA OCCIDENTALIS,DECIDUOUS
375,PAPER BIRCH,BETULA,PAPYRIFERA,BEPA,BETULA PAPYRIFERA,DECIDUOUS
376,RESIN BIRCH,BETULA,NEOALASKANA,BENE4,BETULA NEOALASKANA,DECIDUOUS
377,VIRGINIA ROUNDLEAF BIRCH,BETULA,UBER,BEUB,BETULA UBER,DECIDUOUS
378,NORTHWESTERN PAPER BIRCH,BETULA,X UTAHENSIS,BEUT,BETULA X UTAHENSIS,DECIDUOUS
379,GRAY BIRCH,BETULA,POPULIFOLIA,BEPO,BETULA POPULIFOLIA,DECIDUOUS
381,"CHITTAMWOOD, GUM BUMELIA",SIDEROXYLON,LANUGINOSUM,SILAL3,SIDEROXYLON LANUGINOSUM,DECIDUOUS
391,"AMERICAN HORNBEAM, MUSCLEWOOD",CARPINUS,CAROLINIANA,CACA18,CARPINUS CAROLINIANA,DECIDUOUS
400,HICKORY SPP.,CARYA,SPP.,CARYA,CARYA SPP.,DECIDUOUS
401,WATER HICKORY,CARYA,AQUATICA,CAAQ2,CARYA AQUATICA,DECIDUOUS
402,BITTERNUT HICKORY,CARYA,CORDIFORMIS,CACO15,CARYA CORDIFORMIS,DECIDUOUS
403,PIGNUT HICKORY,CARYA,GLABRA,CAGL8,CARYA GLABRA,DECIDUOUS
404,PECAN,CARYA,ILLINOINENSIS,CAIL2,CARYA ILLINOINENSIS,DECIDUOUS
405,SHELLBARK HICKORY,CARYA,LACINIOSA,CALA21,CARYA LACINIOSA,DECIDUOUS
406,NUTMEG HICKORY,CARYA,MYRISTICIFORMIS,CAMY,CARYA MYRISTICIFORMIS,DECIDUOUS
407,SHAGBARK HICKORY,CARYA,OVATA,CAOV2,CARYA OVATA,DECIDUOUS
408,BLACK HICKORY,CARYA,TEXANA,CATE9,CARYA TEXANA,DECIDUOUS
409,MOCKERNUT HICKORY,CARYA,ALBA,CAAL27,CARYA ALBA,DECIDUOUS
410,SAND HICKORY,CARYA,PALLIDA,CAPA24,CARYA PALLIDA,DECIDUOUS
411,SCRUB HICKORY,CARYA,FLORIDANA,CAFL6,CARYA FLORIDANA,DECIDUOUS
412,RED HICKORY,CARYA,OVALIS,CAOV3,CARYA OVALIS,DECIDUOUS
413,SOUTHERN SHAGBARK HICKORY,CARYA,CAROLINAE-SEPTENTRIONALIS,CACA38,CARYA CAROLINAE-SEPTENTRIONALIS,DECIDUOUS
